Genre,Hits,Flops,Total,Hit Rate %
Family,303,105,408,74.26470588235294
Fantasy,264,109,373,70.77747989276139
Adventure,457,205,662,69.03323262839879
Animation,184,99,283,65.01766784452296
Science Fiction,262,153,415,63.132530120481924
Action,645,406,1051,61.37012369172217
Comedy,848,707,1555,54.53376205787781
Horror,219,191,410,53.41463414634147
Thriller,610,540,1150,53.04347826086957
Crime,322,295,617,52.188006482982175
Mystery,163,159,322,50.621118012422365
Romance,409,401,810,50.49382716049383
History,86,97,183,46.994535519125684
War,64,76,140,45.714285714285715
Music,64,77,141,45.39007092198582
Drama,955,1301,2256,42.33156028368794
Foreign,10,51,61,16.39344262295082
Documentary,30,155,185,16.216216216216218
